symbol,company,sector,industry,active
MRPL.NS,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,True
MANKIND.NS,Mankind Pharma Ltd.,Healthcare,Healthcare,True
MARICO.NS,Marico Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
MARUTI.NS,Maruti Suzuki India Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
MFSL.NS,Max Financial Services Ltd.,Financial Services,Financial Services,True
MAXHEALTH.NS,Max Healthcare Institute Ltd.,Healthcare,Healthcare,True
MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,Capital Goods,True
MEESHO.NS,Meesho Ltd.,Consumer Services,Consumer Services,True
MINDACORP.NS,Minda Corporation Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
MSUMI.NS,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
MOTILALOFS.NS,Motilal Oswal Financial Services Ltd.,Financial Services,Financial Services,True
MPHASIS.NS,MphasiS Ltd.,Information Technology,Information Technology,True
MCX.NS,Multi Commodity Exchange of India Ltd.,Financial Services,Financial Services,True
MUTHOOTFIN.NS,Muthoot Finance Ltd.,Financial Services,Financial Services,True
NATCOPHARM.NS,NATCO Pharma Ltd.,Healthcare,Healthcare,True
NBCC.NS,NBCC (India) Ltd.,Construction,Construction,True
NCC.NS,NCC Ltd.,Construction,Construction,True
NHPC.NS,NHPC Ltd.,Power,Power,True
NLCINDIA.NS,NLC India Ltd.,Power,Power,True
NMDC.NS,NMDC Ltd.,Metals & Mining,Metals & Mining,True
NSLNISP.NS,NMDC Steel Ltd.,Metals & Mining,Metals & Mining,True
NTPCGREEN.NS,NTPC Green Energy Ltd.,Power,Power,True
NTPC.NS,NTPC Ltd.,Power,Power,True
NH.NS,Narayana Hrudayalaya Ltd.,Healthcare,Healthcare,True
NATIONALUM.NS,National Aluminium Co. Ltd.,Metals & Mining,Metals & Mining,True
NAVA.NS,Nava Ltd.,Power,Power,True
NAVINFLUOR.NS,Navin Fluorine International Ltd.,Chemicals,Chemicals,True
NESTLEIND.NS,Nestle India Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
NETWEB.NS,Netweb Technologies India Ltd.,Information Technology,Information Technology,True
NEULANDLAB.NS,Neuland Laboratories Ltd.,Healthcare,Healthcare,True
NEWGEN.NS,Newgen Software Technologies Ltd.,Information Technology,Information Technology,True
NAM-INDIA.NS,Nippon Life India Asset Management Ltd.,Financial Services,Financial Services,True
NIVABUPA.NS,Niva Bupa Health Insurance Company Ltd.,Financial Services,Financial Services,True
NUVAMA.NS,Nuvama Wealth Management Ltd.,Financial Services,Financial Services,True
NUVOCO.NS,Nuvoco Vistas Corporation Ltd.,Construction Materials,Construction Materials,True
OBEROIRLTY.NS,Oberoi Realty Ltd.,Realty,Realty,True
ONGC.NS,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,True
OIL.NS,Oil India Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,True
OLAELEC.NS,Ola Electric Mobility Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
OLECTRA.NS,Olectra Greentech Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
PAYTM.NS,One 97 Communications Ltd.,Financial Services,Financial Services,True
ONESOURCE.NS,Onesource Specialty Pharma Ltd.,Healthcare,Healthcare,True
OFSS.NS,Oracle Financial Services Software Ltd.,Information Technology,Information Technology,True
POLICYBZR.NS,PB Fintech Ltd.,Financial Services,Financial Services,True
PCBL.NS,PCBL Chemical Ltd.,Chemicals,Chemicals,True
PGEL.NS,PG Electroplast Ltd.,Consumer Durables,Consumer Durables,True
PIIND.NS,PI Industries Ltd.,Chemicals,Chemicals,True
PNBHOUSING.NS,PNB Housing Finance Ltd.,Financial Services,Financial Services,True
PTCIL.NS,PTC Industries Ltd.,Capital Goods,Capital Goods,True
PVRINOX.NS,PVR INOX Ltd.,Media Entertainment & Publication,Media Entertainment & Publication,True
PAGEIND.NS,Page Industries Ltd.,Textiles,Textiles,True
PARADEEP.NS,Paradeep Phosphates Ltd.,Chemicals,Chemicals,True
PATANJALI.NS,Patanjali Foods Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
PERSISTENT.NS,Persistent Systems Ltd.,Information Technology,Information Technology,True
PETRONET.NS,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,True
PFIZER.NS,Pfizer Ltd.,Healthcare,Healthcare,True
PHOENIXLTD.NS,Phoenix Mills Ltd.,Realty,Realty,True
PWL.NS,Physicswallah Ltd.,Consumer Services,Consumer Services,True
PIDILITIND.NS,Pidilite Industries Ltd.,Chemicals,Chemicals,True
PINELABS.NS,Pine Labs Ltd.,Financial Services,Financial Services,True
PIRAMALFIN.NS,Piramal Finance Ltd.,Financial Services,Financial Services,True
PPLPHARMA.NS,Piramal Pharma Ltd.,Healthcare,Healthcare,True
