symbol,company,sector,industry,active
BALKRISIND.NS,Balkrishna Industries Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
BALRAMCHIN.NS,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
BANDHANBNK.NS,Bandhan Bank Ltd.,Financial Services,Financial Services,True
BANKBARODA.NS,Bank of Baroda,Financial Services,Financial Services,True
BANKINDIA.NS,Bank of India,Financial Services,Financial Services,True
MAHABANK.NS,Bank of Maharashtra,Financial Services,Financial Services,True
BATAINDIA.NS,Bata India Ltd.,Consumer Durables,Consumer Durables,True
BAYERCROP.NS,Bayer Cropscience Ltd.,Chemicals,Chemicals,True
BELRISE.NS,Belrise Industries Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
BERGEPAINT.NS,Berger Paints India Ltd.,Consumer Durables,Consumer Durables,True
BDL.NS,Bharat Dynamics Ltd.,Capital Goods,Capital Goods,True
BEL.NS,Bharat Electronics Ltd.,Capital Goods,Capital Goods,True
BHARATFORG.NS,Bharat Forge Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
BHEL.NS,Bharat Heavy Electricals Ltd.,Capital Goods,Capital Goods,True
BPCL.NS,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,True
BHARTIARTL.NS,Bharti Airtel Ltd.,Telecommunication,Telecommunication,True
BHARTIHEXA.NS,Bharti Hexacom Ltd.,Telecommunication,Telecommunication,True
BIKAJI.NS,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
GROWW.NS,Billionbrains Garage Ventures Ltd.,Financial Services,Financial Services,True
BIOCON.NS,Biocon Ltd.,Healthcare,Healthcare,True
BSOFT.NS,Birlasoft Ltd.,Information Technology,Information Technology,True
BLUEDART.NS,Blue Dart Express Ltd.,Services,Services,True
BLUEJET.NS,Blue Jet Healthcare Ltd.,Healthcare,Healthcare,True
BLUESTARCO.NS,Blue Star Ltd.,Consumer Durables,Consumer Durables,True
BBTC.NS,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
BOSCHLTD.NS,Bosch Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
FIRSTCRY.NS,Brainbees Solutions Ltd.,Consumer Services,Consumer Services,True
BRIGADE.NS,Brigade Enterprises Ltd.,Realty,Realty,True
BRITANNIA.NS,Britannia Industries Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
MAPMYINDIA.NS,C.E. Info Systems Ltd.,Information Technology,Information Technology,True
CCL.NS,CCL Products (I) Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
CESC.NS,CESC Ltd.,Power,Power,True
CGPOWER.NS,CG Power and Industrial Solutions Ltd.,Capital Goods,Capital Goods,True
CIEINDIA.NS,CIE Automotive India Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
CRISIL.NS,CRISIL Ltd.,Financial Services,Financial Services,True
CANFINHOME.NS,Can Fin Homes Ltd.,Financial Services,Financial Services,True
CANBK.NS,Canara Bank,Financial Services,Financial Services,True
CANHLIFE.NS,Canara HSBC Life Insurance Company Ltd.,Financial Services,Financial Services,True
CAPLIPOINT.NS,Caplin Point Laboratories Ltd.,Healthcare,Healthcare,True
CGCL.NS,Capri Global Capital Ltd.,Financial Services,Financial Services,True
CARBORUNIV.NS,Carborundum Universal Ltd.,Capital Goods,Capital Goods,True
CARTRADE.NS,Cartrade Tech Ltd.,Consumer Services,Consumer Services,True
CASTROLIND.NS,Castrol India Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,True
CEATLTD.NS,Ceat Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
CEMPRO.NS,Cemindia Projects Ltd.,Construction,Construction,True
CENTRALBK.NS,Central Bank of India,Financial Services,Financial Services,True
CDSL.NS,Central Depository Services (India) Ltd.,Financial Services,Financial Services,True
CHALET.NS,Chalet Hotels Ltd.,Consumer Services,Consumer Services,True
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Ltd.,Chemicals,Chemicals,True
CHENNPETRO.NS,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,True
CHOICEIN.NS,Choice International Ltd.,Financial Services,Financial Services,True
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd.,Financial Services,Financial Services,True
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,Financial Services,Financial Services,True
CIPLA.NS,Cipla Ltd.,Healthcare,Healthcare,True
CUB.NS,City Union Bank Ltd.,Financial Services,Financial Services,True
CLEAN.NS,Clean Science and Technology Ltd.,Chemicals,Chemicals,True
COALINDIA.NS,Coal India Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,True
COCHINSHIP.NS,Cochin Shipyard Ltd.,Capital Goods,Capital Goods,True
COFORGE.NS,Coforge Ltd.,Information Technology,Information Technology,True
COHANCE.NS,Cohance Lifesciences Ltd.,Healthcare,Healthcare,True
COLPAL.NS,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
CAMS.NS,Computer Age Management Services Ltd.,Financial Services,Financial Services,True
CONCORDBIO.NS,Concord Biotech Ltd.,Healthcare,Healthcare,True
CONCOR.NS,Container Corporation of India Ltd.,Services,Services,True
COROMANDEL.NS,Coromandel International Ltd.,Chemicals,Chemicals,True
CRAFTSMAN.NS,Craftsman Automation Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
CREDITACC.NS,CreditAccess Grameen Ltd.,Financial Services,Financial Services,True
CROMPTON.NS,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,Consumer Durables,True
CUMMINSIND.NS,Cummins India Ltd.,Capital Goods,Capital Goods,True
CYIENT.NS,Cyient Ltd.,Information Technology,Information Technology,True
DCMSHRIRAM.NS,DCM Shriram Ltd.,Diversified,Diversified,True
DLF.NS,DLF Ltd.,Realty,Realty,True
DOMS.NS,DOMS Industries Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
DABUR.NS,Dabur India Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
DALBHARAT.NS,Dalmia Bharat Ltd.,Construction Materials,Construction Materials,True
DATAPATTNS.NS,Data Patterns (India) Ltd.,Capital Goods,Capital Goods,True
DEEPAKFERT.NS,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,Chemicals,True
DEEPAKNTR.NS,Deepak Nitrite Ltd.,Chemicals,Chemicals,True
DELHIVERY.NS,Delhivery Ltd.,Services,Services,True
DEVYANI.NS,Devyani International Ltd.,Consumer Services,Consumer Services,True
DIVISLAB.NS,Divi's Laboratories Ltd.,Healthcare,Healthcare,True
DIXON.NS,Dixon Technologies (India) Ltd.,Consumer Durables,Consumer Durables,True
LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,Healthcare,Healthcare,True
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Healthcare,Healthcare,True
DUMMYHEG.NS,Dummy HEG Ltd.,Metals & Mining,Metals & Mining,True
EIDPARRY.NS,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
EIHOTEL.NS,EIH Ltd.,Consumer Services,Consumer Services,True
EICHERMOT.NS,Eicher Motors Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
ELECON.NS,Elecon Engineering Co. Ltd.,Capital Goods,Capital Goods,True
ELGIEQUIP.NS,Elgi Equipments Ltd.,Capital Goods,Capital Goods,True
EMAMILTD.NS,Emami Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
EMCURE.NS,Emcure Pharmaceuticals Ltd.,Healthcare,Healthcare,True
EMMVEE.NS,Emmvee Photovoltaic Power Ltd.,Capital Goods,Capital Goods,True
ENDURANCE.NS,Endurance Technologies Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
ENGINERSIN.NS,Engineers India Ltd.,Construction,Construction,True
ERIS.NS,Eris Lifesciences Ltd.,Healthcare,Healthcare,True
ESCORTS.NS,Escorts Kubota Ltd.,Capital Goods,Capital Goods,True
ETERNAL.NS,Eternal Ltd.,Consumer Services,Consumer Services,True
EXIDEIND.NS,Exide Industries Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
NYKAA.NS,FSN E-Commerce Ventures Ltd.,Consumer Services,Consumer Services,True
FEDERALBNK.NS,Federal Bank Ltd.,Financial Services,Financial Services,True
FACT.NS,Fertilisers and Chemicals Travancore Ltd.,Chemicals,Chemicals,True
FINCABLES.NS,Finolex Cables Ltd.,Capital Goods,Capital Goods,True
FSL.NS,Firstsource Solutions Ltd.,Services,Services,True
FIVESTAR.NS,Five-Star Business Finance Ltd.,Financial Services,Financial Services,True
FORCEMOT.NS,Force Motors Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
FORTIS.NS,Fortis Healthcare Ltd.,Healthcare,Healthcare,True
GAIL.NS,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,True
GVT&D.NS,GE Vernova T&D India Ltd.,Capital Goods,Capital Goods,True
GMRAIRPORT.NS,GMR Airports Ltd.,Services,Services,True
GABRIEL.NS,Gabriel India Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
GALLANTT.NS,Gallantt Ispat Ltd.,Capital Goods,Capital Goods,True
GRSE.NS,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,Capital Goods,True
GICRE.NS,General Insurance Corporation of India,Financial Services,Financial Services,True
GILLETTE.NS,Gillette India Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
GLAND.NS,Gland Pharma Ltd.,Healthcare,Healthcare,True
GLAXO.NS,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Healthcare,True
GLENMARK.NS,Glenmark Pharmaceuticals Ltd.,Healthcare,Healthcare,True
MEDANTA.NS,Global Health Ltd.,Healthcare,Healthcare,True
GODIGIT.NS,Go Digit General Insurance Ltd.,Financial Services,Financial Services,True
GPIL.NS,Godawari Power & Ispat Ltd.,Capital Goods,Capital Goods,True
GODFRYPHLP.NS,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
GODREJCP.NS,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
GODREJIND.NS,Godrej Industries Ltd.,Diversified,Diversified,True
GODREJPROP.NS,Godrej Properties Ltd.,Realty,Realty,True
GRANULES.NS,Granules India Ltd.,Healthcare,Healthcare,True
GRAPHITE.NS,Graphite India Ltd.,Capital Goods,Capital Goods,True
GRASIM.NS,Grasim Industries Ltd.,Construction Materials,Construction Materials,True
GRAVITA.NS,Gravita India Ltd.,Metals & Mining,Metals & Mining,True
GESHIP.NS,Great Eastern Shipping Co. Ltd.,Services,Services,True
FLUOROCHEM.NS,Gujarat Fluorochemicals Ltd.,Chemicals,Chemicals,True
GMDCLTD.NS,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,Metals & Mining,True
HBLENGINE.NS,HBL Engineering Ltd.,Capital Goods,Capital Goods,True
HCLTECH.NS,HCL Technologies Ltd.,Information Technology,Information Technology,True
HDBFS.NS,HDB Financial Services Ltd.,Financial Services,Financial Services,True
HDFCAMC.NS,HDFC Asset Management Company Ltd.,Financial Services,Financial Services,True
HDFCBANK.NS,HDFC Bank Ltd.,Financial Services,Financial Services,True
HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,Financial Services,Financial Services,True
HAVELLS.NS,Havells India Ltd.,Consumer Durables,Consumer Durables,True
HEROMOTOCO.NS,Hero MotoCorp Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
HEXT.NS,Hexaware Technologies Ltd.,Information Technology,Information Technology,True
HSCL.NS,Himadri Speciality Chemical Ltd.,Chemicals,Chemicals,True
HINDALCO.NS,Hindalco Industries Ltd.,Metals & Mining,Metals & Mining,True
HAL.NS,Hindustan Aeronautics Ltd.,Capital Goods,Capital Goods,True
HINDCOPPER.NS,Hindustan Copper Ltd.,Metals & Mining,Metals & Mining,True
HINDPETRO.NS,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,True
HINDUNILVR.NS,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
HINDZINC.NS,Hindustan Zinc Ltd.,Metals & Mining,Metals & Mining,True
POWERINDIA.NS,Hitachi Energy India Ltd.,Capital Goods,Capital Goods,True
HOMEFIRST.NS,Home First Finance Company India Ltd.,Financial Services,Financial Services,True
HONASA.NS,Honasa Consumer Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
HONAUT.NS,Honeywell Automation India Ltd.,Capital Goods,Capital Goods,True
HUDCO.NS,Housing & Urban Development Corporation Ltd.,Financial Services,Financial Services,True
HYUNDAI.NS,Hyundai Motor India Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
ICICIBANK.NS,ICICI Bank Ltd.,Financial Services,Financial Services,True
ICICIGI.NS,ICICI Lombard General Insurance Company Ltd.,Financial Services,Financial Services,True
ICICIAMC.NS,ICICI Prudential Asset Management Company Ltd.,Financial Services,Financial Services,True
ICICIPRULI.NS,ICICI Prudential Life Insurance Company Ltd.,Financial Services,Financial Services,True
IDBI.NS,IDBI Bank Ltd.,Financial Services,Financial Services,True
IDFCFIRSTB.NS,IDFC First Bank Ltd.,Financial Services,Financial Services,True
IFCI.NS,IFCI Ltd.,Financial Services,Financial Services,True
IIFL.NS,IIFL Finance Ltd.,Financial Services,Financial Services,True
IRB.NS,IRB Infrastructure Developers Ltd.,Construction,Construction,True
IRCON.NS,IRCON International Ltd.,Construction,Construction,True
ITCHOTELS.NS,ITC Hotels Ltd.,Consumer Services,Consumer Services,True
ITC.NS,ITC Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True
